sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
May_REV_04_B	123,186	NA	122,133	99.1%	122133	120418	119904	120090	116647	116286
May_REV_05_B	122,701	NA	121,961	99.4%	121961	118632	118327	118349	115567	115567
May_REV_06_B	108,482	NA	107,382	99.0%	107382	106273	105545	105854	102322	102297
May_REV_07_B	129,166	NA	128,412	99.4%	128412	126191	125879	125856	123036	123006
May_REV_08_B	152,765	NA	151,264	99.0%	151264	150325	149991	149971	146840	146794
May_REV_09_B	133,811	NA	133,092	99.5%	133092	132310	131468	131938	127320	127294
May_REV_10_B	124,016	NA	121,536	98.0%	121536	117133	116603	116857	113994	113994
May_REV_11_B	75,039	NA	74,489	99.3%	74489	71154	70209	70736	68032	68024
May_REV_12_B	128,690	NA	127,813	99.3%	127813	125797	125377	125446	122513	122418
May_REV_15_B	36,545	NA	36,176	99.0%	36176	35900	35044	35680	32918	32918
May_REV_16_B	132,802	NA	131,670	99.1%	131670	130664	129959	130272	125231	125155
May_REV_17_B	151,947	NA	150,781	99.2%	150781	149125	148470	148618	144311	139743
May_REV_C1_B	123,906	NA	121,089	97.7%	121089	119091	118356	118465	113349	112210
May_REV_C2	135,934	NA	135,205	99.5%	135205	132041	131560	131602	127673	127397
May_REV_C3	132,797	NA	132,127	99.5%	132127	129956	129297	129466	125609	122456
May_REV_C4	137,281	NA	136,152	99.2%	136152	135403	134842	135010	131352	131259
May_REV_C5	169,234	NA	168,383	99.5%	168383	166802	166218	166495	161393	160387
May_SF_01	130,483	NA	129,237	99.0%	129237	128240	147043	147048	143840	143840
May_SF_01_S	149,385	NA	148,529	99.4%	148529	147635	127882	127968	122826	121789
May_SF_02_B	144,662	NA	143,922	99.5%	143922	141837	140719	141178	137166	136926
May_SF_02_S	142,443	NA	141,530	99.4%	141530	140781	140167	140175	137653	137431
May_SF_S3_S	83,194	NA	82,685	99.4%	82685	79690	78242	79254	73991	73908
May_VW_C1_B	117,918	NA	117,185	99.4%	117185	116591	116398	116454	114770	114576
May_VW_C1_S	126,717	NA	126,036	99.5%	126036	125136	124828	124824	122616	122418
May_VW_C2_B	105,036	NA	103,958	99.0%	103958	101003	100445	100485	96814	96797
May_VW_C2_S	145,970	NA	141,967	97.3%	141967	136282	135608	135742	132173	132169
May_VW_C3_B	104,898	NA	104,001	99.1%	104001	103054	102680	102696	99080	98298
May_VW_C3_S	93,709	NA	91,379	97.5%	91379	89517	89338	89347	88480	88480
May_VW_S5_B	77,981	NA	77,446	99.3%	77446	76950	76173	76465	74347	74347
May_VW_S5_S	81,168	NA	80,711	99.4%	80711	80425	80210	79990	77586	77509
May_VW_S6_B	104,331	NA	103,603	99.3%	103603	102933	102681	102556	99686	99002
May_VW_S6_S	86,164	NA	85,608	99.4%	85608	83172	82954	82891	81628	81493
May_VW_S7_B	94,395	NA	93,847	99.4%	93847	93027	92526	92833	90491	90491
May_VW_S7_S	104,150	NA	103,521	99.4%	103521	102740	102055	101601	98765	98740
Nov_501_1_B	115,584	NA	114,545	99.1%	114545	112955	110913	111100	108108	108108
Nov_501_1_S	179,297	NA	174,001	97.0%	174001	147869	146681	146916	140110	139860
Nov_501_2_B	196,040	NA	195,020	99.5%	195020	193375	192874	193081	186385	186385
Nov_501_2_S	141,071	NA	140,294	99.4%	140294	139593	138423	139408	134142	133992
Nov_501_3_B	210,919	NA	209,613	99.4%	209613	208484	204967	205884	200495	200271
Nov_501_3_S	107,486	NA	106,764	99.3%	106764	105231	104588	104988	103287	103262
Nov_501_4_B	97,250	NA	96,264	99.0%	96264	93352	92417	92915	89819	89819
Nov_501_4_S	234,804	NA	230,275	98.1%	230275	218109	216300	216528	208514	208323
Nov_REV_01_B	202,374	NA	200,661	99.2%	200661	195789	195230	195419	191553	191553
Nov_REV_02_B	124,611	NA	123,485	99.1%	123485	123040	122381	122071	119242	118994
Nov_REV_03_B	157,690	NA	155,076	98.3%	155076	153523	153140	153230	150311	150311
Nov_REV_04_B	119,536	NA	118,666	99.3%	118666	117376	116624	117170	113496	113478
Nov_REV_05_B	30,910	NA	30,762	99.5%	30762	30541	30348	30466	29769	29769
Nov_REV_06_B	79,468	NA	78,941	99.3%	78941	78562	78347	78381	77064	77048
Nov_REV_07_B	112,279	NA	111,678	99.5%	111678	110731	109954	109919	106897	106853
Nov_REV_08_B	155,698	NA	154,075	99.0%	154075	153377	152928	153017	149608	149605
Nov_REV_09_B	278,029	NA	276,689	99.5%	276689	275309	274792	274433	269772	269758
Nov_REV_10_B	186,309	NA	177,896	95.5%	177896	131143	129778	129999	127306	127306
Nov_REV_11_B	152,225	NA	151,350	99.4%	151350	150666	150564	150601	149165	149165
Nov_REV_12_B	156,827	NA	156,004	99.5%	156004	153917	151220	151732	144494	144368
Nov_REV_13_B	160,124	NA	159,272	99.5%	159272	156946	156217	156411	151056	151040
Nov_REV_14_B	59,895	NA	59,576	99.5%	59576	59181	58746	58808	56592	56577
Nov_REV_15_B	78,423	NA	77,226	98.5%	77226	73324	72509	72880	70116	70116
Nov_REV_16_B	244,305	NA	238,414	97.6%	238414	235754	233600	234815	226434	226336
Nov_REV_17_B	95,529	NA	92,986	97.3%	92986	91721	91223	91384	89597	89331
Nov_REV_C1_B	208,635	NA	206,887	99.2%	206887	158397	154828	155897	151171	150928
Nov_REV_C2_B	104,155	NA	103,299	99.2%	103299	102633	102253	102369	100122	100122
Nov_REV_C3_B	255,317	NA	245,414	96.1%	245414	239535	238826	239013	235843	235843
Nov_REV_C4_B	100,447	NA	99,857	99.4%	99857	98883	97241	97945	94417	94369
Nov_REV_C5_B	33,400	NA	33,059	99.0%	33059	32790	32385	32610	30877	30877
Nov_REV_C6_B	125,049	NA	124,011	99.2%	124011	123495	123005	123241	120322	120322
Nov_SF_01_B	203,383	NA	202,367	99.5%	202367	201761	201358	201343	196596	196471
