File Name,27 AUG 24 PLATE 2.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,27 AUG 24 PLATE 2,,,,,
Run Started,08/27/2024 15:59:37 UTC,,,,,
Run Ended,08/27/2024 17:33:18 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
A02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,32.42,
A03,SYBR,Library,Unkn,1/18/24_PJP_UPP,32.33,
A04,SYBR,Library,Unkn,1/18/24_PJP_CFL,29.96,
A05,SYBR,Library,Unkn,1/24/24_NWR_SPB,38.35,
A06,SYBR,Library,Unkn,1/24/24_NWR_NRB,35.42,
A07,SYBR,Library,Unkn,1/24/24_NWR_BTR,38.45,
A08,SYBR,Library,Unkn,1/24/24_NWR_UPP,30.34,
A09,SYBR,Library,Unkn,1/24/24_NWR_CPR,33.29,
A10,SYBR,Library,Unkn,1/24/24_DI Blank #1,,
A11,SYBR,Library,Unkn,1/24/24_DI Blank #2,,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
B02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,33.31,
B03,SYBR,Library,Unkn,1/18/24_PJP_UPP,32.73,
B04,SYBR,Library,Unkn,1/18/24_PJP_CFL,30.07,
B05,SYBR,Library,Unkn,1/24/24_NWR_SPB,,
B06,SYBR,Library,Unkn,1/24/24_NWR_NRB,38.04,
B07,SYBR,Library,Unkn,1/24/24_NWR_BTR,35.15,
B08,SYBR,Library,Unkn,1/24/24_NWR_UPP,30.74,
B09,SYBR,Library,Unkn,1/24/24_NWR_CPR,33.10,
B10,SYBR,Library,Unkn,1/24/24_DI Blank #1,,
B11,SYBR,Library,Unkn,1/24/24_DI Blank #2,39.22,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
C02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,31.75,
C03,SYBR,Library,Unkn,1/18/24_PJP_UPP,,
C04,SYBR,Library,Unkn,1/18/24_PJP_CFL,29.60,
C05,SYBR,Library,Unkn,1/24/24_NWR_SPB,36.14,
C06,SYBR,Library,Unkn,1/24/24_NWR_NRB,35.48,
C07,SYBR,Library,Unkn,1/24/24_NWR_BTR,36.78,
C08,SYBR,Library,Unkn,1/24/24_NWR_UPP,30.33,
C09,SYBR,Library,Unkn,1/24/24_NWR_CPR,32.43,
C10,SYBR,Library,Unkn,1/24/24_DI Blank #1,,
C11,SYBR,Library,Unkn,1/24/24_DI Blank #2,,
C12,SYBR,Library,NTC,Neg,,
D01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
D02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,33.25,
D03,SYBR,Library,Unkn,1/18/24_PJP_UPP,31.76,
D04,SYBR,Library,Unkn,1/18/24_PJP_CFL,29.25,
D05,SYBR,Library,Unkn,1/24/24_NWR_SPB,,
D06,SYBR,Library,Unkn,1/24/24_NWR_NRB,34.94,
D07,SYBR,Library,Unkn,1/24/24_NWR_BTR,37.75,
D08,SYBR,Library,Unkn,1/24/24_NWR_UPP,32.77,
D09,SYBR,Library,Unkn,1/24/24_NWR_CPR,30.62,
D10,SYBR,Library,Unkn,1/24/24_DI Blank #1,,
D11,SYBR,Library,Unkn,1/24/24_DI Blank #2,,
D12,SYBR,Library,NTC,Neg,,
E01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
E02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,33.44,
E03,SYBR,Library,Unkn,1/18/24_PJP_UPP,32.26,
E04,SYBR,Library,Unkn,1/18/24_PJP_CFL,29.45,
E05,SYBR,Library,Unkn,1/24/24_NWR_SPB,38.54,
E06,SYBR,Library,Unkn,1/24/24_NWR_NRB,36.91,
E07,SYBR,Library,Unkn,1/24/24_NWR_BTR,37.63,
E08,SYBR,Library,Unkn,1/24/24_NWR_UPP,31.25,
E09,SYBR,Library,Unkn,1/24/24_NWR_CPR,32.87,
E10,SYBR,Library,Unkn,1/24/24_DI Blank #1,,
E11,SYBR,Library,Unkn,1/24/24_DI Blank #2,37.06,
E12,SYBR,Library,NTC,Neg,,
F01,SYBR,Library,Unkn,1/17/24_GBP_OCA,,
F02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2,35.68,
F03,SYBR,Library,Unkn,1/18/24_PJP_UPP,33.66,
F04,SYBR,Library,Unkn,1/18/24_PJP_CFL,30.05,
F05,SYBR,Library,Unkn,1/24/24_NWR_SPB,,
F06,SYBR,Library,Unkn,1/24/24_NWR_NRB,37.10,
F07,SYBR,Library,Unkn,1/24/24_NWR_BTR,39.19,
F08,SYBR,Library,Unkn,1/24/24_NWR_UPP,30.81,
F09,SYBR,Library,Unkn,1/24/24_NWR_CPR,33.52,
F10,SYBR,Library,Unkn,1/24/24_DI Blank #1,36.93,
F11,SYBR,Library,Unkn,1/24/24_DI Blank #2,,
F12,SYBR,Library,NTC,Neg,,
G01,SYBR,Library,Unkn,1/17/24_GBP_OCA spike,10.68,
G02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2 spike,10.63,
G03,SYBR,Library,Unkn,1/18/24_PJP_UPP spike,10.59,
G04,SYBR,Library,Unkn,1/18/24_PJP_CFL spike,10.54,
G05,SYBR,Library,Unkn,1/24/24_NWR_SPB spike,10.53,
G06,SYBR,Library,Unkn,1/24/24_NWR_NRB spike,10.64,
G07,SYBR,Library,Unkn,1/24/24_NWR_BTR spike,10.54,
G08,SYBR,Library,Unkn,1/24/24_NWR_UPP spike,10.41,
G09,SYBR,Library,Unkn,1/24/24_NWR_CPR spike,10.69,
G10,SYBR,Library,Unkn,1/24/24_DI Blank #1 spike,10.60,
G11,SYBR,Library,Unkn,1/24/24_DI Blank #2 spike,10.02,
G12,SYBR,Library,Pos Ctrl,Pos,10.65,
H01,SYBR,Library,Unkn,1/17/24_GBP_OCA spike,10.86,
H02,SYBR,Library,Unkn,1/18/24_PJ_CPS #2 spike,10.81,
H03,SYBR,Library,Unkn,1/18/24_PJP_UPP spike,10.88,
H04,SYBR,Library,Unkn,1/18/24_PJP_CFL spike,10.91,
H05,SYBR,Library,Unkn,1/24/24_NWR_SPB spike,10.79,
H06,SYBR,Library,Unkn,1/24/24_NWR_NRB spike,10.69,
H07,SYBR,Library,Unkn,1/24/24_NWR_BTR spike,10.74,
H08,SYBR,Library,Unkn,1/24/24_NWR_UPP spike,10.69,
H09,SYBR,Library,Unkn,1/24/24_NWR_CPR spike,10.84,
H10,SYBR,Library,Unkn,1/24/24_DI Blank #1 spike,10.60,
H11,SYBR,Library,Unkn,1/24/24_DI Blank #2 spike,10.14,
H12,SYBR,Library,Pos Ctrl,Pos,10.31,
