File Name,5 SEP 2024 PLATE 1.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,5 SEP 2024 PLATE 1,,,,,
Run Started,09/05/2024 14:04:31 UTC,,,,,
Run Ended,09/05/2024 15:38:19 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
A02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
A03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,39.68,
A04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
A05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
A06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
A07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
A08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
A09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
A10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
A11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
B02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
B03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,,
B04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
B05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
B06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
B07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
B08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
B09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
B10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
B11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
C02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
C03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,,
C04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
C05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
C06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
C07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
C08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
C09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
C10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
C11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
C12,SYBR,Library,NTC,Neg,,
D01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
D02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
D03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,,
D04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
D05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
D06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
D07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
D08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
D09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
D10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
D11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
D12,SYBR,Library,NTC,Neg,,
E01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
E02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
E03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,,
E04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
E05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
E06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
E07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
E08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
E09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
E10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
E11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
E12,SYBR,Library,NTC,Neg,,
F01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2,,
F02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1,,
F03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2,,
F04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1,,
F05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2,,
F06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1,,
F07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2,,
F08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1,,
F09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2,,
F10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1,,
F11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2,,
F12,SYBR,Library,NTC,Neg,,
G01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2 spike,10.21,
G02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1 spike,10.27,
G03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2 spike,10.60,
G04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1 spike,10.33,
G05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2 spike,10.43,
G06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1 spike,10.18,
G07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2 spike,10.24,
G08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1 spike,10.24,
G09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2 spike,10.27,
G10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1 spike,10.26,
G11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2 spike,10.24,
G12,SYBR,Library,Pos Ctrl,Pos,10.63,
H01,SYBR,Library,Unkn,5/28/24_PWC_BBL #2 spike,10.55,
H02,SYBR,Library,Unkn,5/28/24_SGR_SLA #1 spike,10.48,
H03,SYBR,Library,Unkn,5/28/24_SGR_SLA #2 spike,11.38,
H04,SYBR,Library,Unkn,5/28/24_SGR_WLR #1 spike,10.57,
H05,SYBR,Library,Unkn,5/28/24_SGR_WLR #2 spike,10.52,
H06,SYBR,Library,Unkn,5/28/24_NWR_UPP #1 spike,10.32,
H07,SYBR,Library,Unkn,5/28/24_NWR_UPP #2 spike,10.20,
H08,SYBR,Library,Unkn,5/28/24_NWR_CPS #1 spike,10.48,
H09,SYBR,Library,Unkn,5/28/24_NWR_CPS #2 spike,10.60,
H10,SYBR,Library,Unkn,5/28/24_ASB_PPA #1 spike,10.38,
H11,SYBR,Library,Unkn,5/28/24_ASB_PPA #2 spike,10.44,
H12,SYBR,Library,Pos Ctrl,Pos,10.63,
