File Name,29 AUG 24 PLATE 5.pcrd,,,,,
Created By User,NICOLE,,,,,
Notes,,,,,,
ID,29 AUG 24 PLATE 5,,,,,
Run Started,08/30/2024 13:55:08 UTC,,,,,
Run Ended,08/30/2024 15:28:56 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,SYBR,Library,Unkn,3/18/24_PJP_CPF,,
A02,SYBR,Library,Unkn,3/18/24_PJP_UPP #1,,
A03,SYBR,Library,Unkn,3/18/24_PJP_UPP #2,,
A04,SYBR,Library,Unkn,3/18/24_POP_OUT,,
A05,SYBR,Library,Unkn,3/18/24_POP_SEC,33.79,
A06,SYBR,Library,Unkn,3/18/24_POP_NOC,,
A07,SYBR,Library,Unkn,3/19/24_GBP_OCA,,
A08,SYBR,Library,Unkn,3/19/24_IPC_GCO,,
A09,SYBR,Library,Unkn,3/19/24_IPC_BBC,,
A10,SYBR,Library,Unkn,3/19/24_Tap Blank #1,,
A11,SYBR,Library,Unkn,3/19/24_Tap Blank #2,,
A12,SYBR,Library,NTC,Neg,,
B01,SYBR,Library,Unkn,3/18/24_PJP_CPF,,
B02,SYBR,Library,Unkn,3/18/24_PJP_UPP #1,,
B03,SYBR,Library,Unkn,3/18/24_PJP_UPP #2,,
B04,SYBR,Library,Unkn,3/18/24_POP_OUT,,
B05,SYBR,Library,Unkn,3/18/24_POP_SEC,34.85,
B06,SYBR,Library,Unkn,3/18/24_POP_NOC,,
B07,SYBR,Library,Unkn,3/19/24_GBP_OCA,,
B08,SYBR,Library,Unkn,3/19/24_IPC_GCO,,
B09,SYBR,Library,Unkn,3/19/24_IPC_BBC,,
B10,SYBR,Library,Unkn,3/19/24_Tap Blank #1,,
B11,SYBR,Library,Unkn,3/19/24_Tap Blank #2,,
B12,SYBR,Library,NTC,Neg,,
C01,SYBR,Library,Unkn,3/18/24_PJP_CPF,,
C02,SYBR,Library,Unkn,3/18/24_PJP_UPP #1,,
C03,SYBR,Library,Unkn,3/18/24_PJP_UPP #2,,
C04,SYBR,Library,Unkn,3/18/24_POP_OUT,,
C05,SYBR,Library,Unkn,3/18/24_POP_SEC,36.24,
C06,SYBR,Library,Unkn,3/18/24_POP_NOC,,
C07,SYBR,Library,Unkn,3/19/24_GBP_OCA,,
C08,SYBR,Library,Unkn,3/19/24_IPC_GCO,,
C09,SYBR,Library,Unkn,3/19/24_IPC_BBC,,
C10,SYBR,Library,Unkn,3/19/24_Tap Blank #1,,
C11,SYBR,Library,Unkn,3/19/24_Tap Blank #2,,
C12,SYBR,Library,NTC,Neg,,
D01,SYBR,Library,Unkn,3/18/24_PJP_CPF,,
D02,SYBR,Library,Unkn,3/18/24_PJP_UPP #1,,
D03,SYBR,Library,Unkn,3/18/24_PJP_UPP #2,,
D04,SYBR,Library,Unkn,3/18/24_POP_OUT,,
D05,SYBR,Library,Unkn,3/18/24_POP_SEC,35.22,
D06,SYBR,Library,Unkn,3/18/24_POP_NOC,,
D07,SYBR,Library,Unkn,3/19/24_GBP_OCA,,
D08,SYBR,Library,Unkn,3/19/24_IPC_GCO,,
D09,SYBR,Library,Unkn,3/19/24_IPC_BBC,,
D10,SYBR,Library,Unkn,3/19/24_Tap Blank #1,,
D11,SYBR,Library,Unkn,3/19/24_Tap Blank #2,,
D12,SYBR,Library,NTC,Neg,,
E01,SYBR,Library,Unkn,3/18/24_PJP_CPF,,
E02,SYBR,Library,Unkn,3/18/24_PJP_UPP #1,,
E03,SYBR,Library,Unkn,3/18/24_PJP_UPP #2,,
E04,SYBR,Library,Unkn,3/18/24_POP_OUT,,
E05,SYBR,Library,Unkn,3/18/24_POP_SEC,35.41,
E06,SYBR,Library,Unkn,3/18/24_POP_NOC,,
E07,SYBR,Library,Unkn,3/19/24_GBP_OCA,,
E08,SYBR,Library,Unkn,3/19/24_IPC_GCO,,
