File Name,29 Sept 2023 Sensitivity Test.pcrd,,,,,
Created By User,CARLY,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,09/29/2023 19:32:19 UTC,,,,,
Run Ended,09/29/2023 21:10:54 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Unknown.prcl,,,,,
Plate Setup File Name,29 Sept 2023 plate.pltd,,,,,
Base Serial Number,795BR03699,,,,,
Optical Head Serial Number,795BR03699,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
D08,VIC,A.dubius,NTC,Neg,,
E01,VIC,A.dubius,Std,10^8,8.15,100000000.00000
E02,VIC,A.dubius,Std,10^4,24.02,10000.00000
E03,VIC,A.dubius,Std,100,30.91,100.00000
E04,VIC,A.dubius,Std,25,32.93,25.00000
E05,VIC,A.dubius,Std,10,35.11,10.00000
E06,VIC,A.dubius,Std,5,33.12,5.00000
E07,VIC,A.dubius,Std,1,35.91,1.00000
F01,VIC,A.dubius,Std,10^8,9.02,100000000.00000
F02,VIC,A.dubius,Std,10^4,23.81,10000.00000
F03,VIC,A.dubius,Std,100,30.71,100.00000
F04,VIC,A.dubius,Std,25,32.22,25.00000
F05,VIC,A.dubius,Std,10,32.78,10.00000
F06,VIC,A.dubius,Std,5,33.21,5.00000
F07,VIC,A.dubius,Std,1,,1.00000
G01,VIC,A.dubius,Std,10^7,12.65,10000000.00000
G02,VIC,A.dubius,Std,10^3,27.08,1000.00000
G03,VIC,A.dubius,Std,50,31.44,50.00000
G04,VIC,A.dubius,Std,25,32.95,25.00000
G05,VIC,A.dubius,Std,10,33.44,10.00000
G06,VIC,A.dubius,Std,2.5,35.32,2.50000
G07,VIC,A.dubius,Std,1,,1.00000
H01,VIC,A.dubius,Std,10^7,13.45,10000000.00000
H02,VIC,A.dubius,Std,10^3,27.17,1000.00000
H03,VIC,A.dubius,Std,50,31.95,50.00000
H04,VIC,A.dubius,Std,25,32.97,25.00000
H05,VIC,A.dubius,Std,10,35.09,10.00000
H06,VIC,A.dubius,Std,2.5,35.13,2.50000
H07,VIC,A.dubius,Std,1,36.35,1.00000
