ASV_ID	TDL_EC_49_12S	TDL_FS_10_12S	TDL_FS_11_12S	TDL_FS_12_12S	TDL_FS_13_12S	TDL_FS_14_12S	TDL_FS_15_12S	TDL_FS_16_12S	TDL_FS_17_12S	TDL_FS_18_12S	TDL_FS_19_12S	TDL_FS_1_12S	TDL_FS_20_12S	TDL_FS_21_12S	TDL_FS_22_12S	TDL_FS_23_12S	TDL_FS_24_12S	TDL_FS_25_12S	TDL_FS_26_12S	TDL_FS_27_12S	TDL_FS_28_12S	TDL_FS_29_12S	TDL_FS_2_12S	TDL_FS_30_12S	TDL_FS_31_12S	TDL_FS_32_12S	TDL_FS_33_12S	TDL_FS_34_12S	TDL_FS_35_12S	TDL_FS_36_12S	TDL_FS_37_12S	TDL_FS_38_12S	TDL_FS_39_12S	TDL_FS_3_12S	TDL_FS_40_12S	TDL_FS_41_12S	TDL_FS_42_12S	TDL_FS_43_12S	TDL_FS_44_12S	TDL_FS_45_12S	TDL_FS_46_12S	TDL_FS_47_12S	TDL_FS_48_12S	TDL_FS_4_12S	TDL_FS_5_12S	TDL_FS_6_12S	TDL_FS_7_12S	TDL_FS_8_12S	TDL_FS_9_12S
7e22fc23e27b29aea806aae62455d023	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ec4dbc3399f639d994fdc65a1b6810e	152	7	0	0	0	0	18	0	0	1	0	20	0	209	0	0	0	533	171	292	104	391	224	951	0	1085	223	224	235	410	1967	1731	267	0	1114	580	1309	68	316	109	23	131	387	0	20	7	0	0	0
7eef5797ad87b51600785f22606c70de	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f16ab98ac42af9e5f08ecdbb0050a7a	0	6	28	2	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	45	968	208	121	63	2	0	0	0	0	0	16	0	0
7f400300a06f165c23af04aa4e4c790c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fd998ccd15be48518b7d1c11f4fefb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
7fef2f8e6a8bee56528216dfc05f0d81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ff5614059eca57cf999f6bfcddcf67f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
802b9659ea4cb15851b7f2501e77bb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
803a43fa7cb74bb51f36ab2949523bf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80b85e59cacd34b78608c1ae7eef2c61	5299	58147	48127	60326	0	16128	12837	9848	774	1739	1965	5419	1917	4758	1916	3245	2593	5166	1981	4760	4320	5813	214	1401	1145	1428	3525	649	669	312	4129	2706	6433	10189	4158	3908	4982	2526	3431	11980	1186	5670	5927	7129	6770	4322	75798	32371	18227
80c040f8fa7ca320845742c52669d5e9	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	107	152	154	56	0	13	57	0	0	0	0	0	0	0	6	38	30	0	0	0	0	0	0
8103469b2716037f1cc4ce8959ae0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
812ed0386e2a4869a21da5634665548d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
